Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
CP,Consumer Price Indices,248,Åland Islands,2000,2000,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,,74.400394,A,Official figure,base year is 2015
CP,Consumer Price Indices,248,Åland Islands,2000,2000,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,,74.009512,A,Official figure,base year is 2015
CP,Consumer Price Indices,248,Åland Islands,2000,2000,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,,73.795633,A,Official figure,base year is 2015
CP,Consumer Price Indices,248,Åland Islands,2000,2000,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,,73.780882,A,Official figure,base year is 2015
CP,Consumer Price Indices,248,Åland Islands,2000,2000,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,,73.183496,A,Official figure,base year is 2015
CP,Consumer Price Indices,248,Åland Islands,2000,2000,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,,73.522753,A,Official figure,base year is 2015
CP,Consumer Price Indices,248,Åland Islands,2000,2000,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,,73.094995,A,Official figure,base year is 2015
CP,Consumer Price Indices,248,Åland Islands,2000,2000,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,,72.851615,A,Official figure,base year is 2015
CP,Consumer Price Indices,248,Åland Islands,2000,2000,23013,"Consumer Prices, Food Indices (2015 = 100)",7009,September,,73.898885,A,Official figure,base year is 2015
CP,Consumer Price Indices,248,Åland Islands,2000,2000,23013,"Consumer Prices, Food Indices (2015 = 100)",7010,October,,73.463751,A,Official figure,base year is 2015
CP,Consumer Price Indices,248,Åland Islands,2000,2000,23013,"Consumer Prices, Food Indices (2015 = 100)",7011,November,,74.378269,A,Official figure,base year is 2015
CP,Consumer Price Indices,248,Åland Islands,2000,2000,23013,"Consumer Prices, Food Indices (2015 = 100)",7012,December,,74.592148,A,Official figure,base year is 2015
CP,Consumer Price Indices,248,Åland Islands,2001,2001,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,,75.54354,A,Official figure,base year is 2015
CP,Consumer Price Indices,248,Åland Islands,2001,2001,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,,76.118801,A,Official figure,base year is 2015
CP,Consumer Price Indices,248,Åland Islands,2001,2001,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,,75.919672,A,Official figure,base year is 2015
CP,Consumer Price Indices,248,Åland Islands,2001,2001,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,,75.506665,A,Official figure,base year is 2015
CP,Consumer Price Indices,248,Åland Islands,2001,2001,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,,75.927048,A,Official figure,base year is 2015
CP,Consumer Price Indices,248,Åland Islands,2001,2001,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,,75.211659,A,Official figure,base year is 2015
CP,Consumer Price Indices,248,Åland Islands,2001,2001,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,,75.447664,A,Official figure,base year is 2015
CP,Consumer Price Indices,248,Åland Islands,2001,2001,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,,78.065838,A,Official figure,base year is 2015
CP,Consumer Price Indices,248,Åland Islands,2001,2001,23013,"Consumer Prices, Food Indices (2015 = 100)",7009,September,,76.856315,A,Official figure,base year is 2015
CP,Consumer Price Indices,248,Åland Islands,2001,2001,23013,"Consumer Prices, Food Indices (2015 = 100)",7010,October,,77.571703,A,Official figure,base year is 2015
CP,Consumer Price Indices,248,Åland Islands,2001,2001,23013,"Consumer Prices, Food Indices (2015 = 100)",7011,November,,77.571703,A,Official figure,base year is 2015
CP,Consumer Price Indices,248,Åland Islands,2001,2001,23013,"Consumer Prices, Food Indices (2015 = 100)",7012,December,,78.604223,A,Official figure,base year is 2015
CP,Consumer Price Indices,248,Åland Islands,2002,2002,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,,82.100038,A,Official figure,base year is 2015
CP,Consumer Price Indices,248,Åland Islands,2002,2002,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,,81.060144,A,Official figure,base year is 2015
CP,Consumer Price Indices,248,Åland Islands,2002,2002,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,,82.018912,A,Official figure,base year is 2015
CP,Consumer Price Indices,248,Åland Islands,2002,2002,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,,80.794639,A,Official figure,base year is 2015
